# Raw per-reef MANTA disturbance history (ALL types, unfiltered), cached from
# ReefMonitoring.get_disturbances - read by 07_create_unmapped_disturbance_years.jl.
# Generated: 2026-07-30T18:03:39.586
reef_id,reef_name,type,ddate,description
18077100104,Grub Reef (18-077),s,2011.0876712328768,Cyclone Yasi February 2011
18081100104,Knife Reef,s,2011.0876712328768,Cyclone Yasi February 2011
18081100104,Knife Reef,b,2017.0849315068492,no decline HCC. Decline in manta coral cover.
18083100104,Fork Reef,u,2010.0,Not known
18083100104,Fork Reef,s,2011.0876712328768,Cyclone Yasi February 2011
18086100104,Chicken Reef,s,2011.0876712328768,Cyclone Yasi February 2011
18086100104,Chicken Reef,u,2010.0,Not known
18088100104,Centipede Reef,b,2017.0849315068492,
18096100104,Davies Reef,s,2011.0876712328768,Cyclone Yasi February 2011
19019100104,Bowden Reef,b,2017.0849315068492,"Bleaching 2016, 2017"
19019100104,Bowden Reef,c,2011.0,COTS
19131101104,Reef 19-131,s,2009.1808219178083,Cyclone Hamish March 2009
19131101104,Reef 19-131,s,2017.2356164383561,Cyclone Debbie
19138100104,Reef 19-138,s,2010.213698630137,"Jan 11 Cyclone Anthony tracked from east just to the north of WH reefs cat 2 over gbr, mcame north to TOI as a low. Cyclone Ului March 2010"
19138100104,Reef 19-138,s,2017.2356164383561,Cyclone Debbie
19159100104,Slate Reef,s,2009.1808219178083,"Cyclone Hamish March 2009,"
19159100104,Slate Reef,s,2010.213698630137,Cyclone Ului March 2010
19207100104,Hyde Reef,s,2009.1808219178083,Cyclone Hamish March 2009
19209100104,Rebe Reef,s,2010.213698630137,"Anthony & Ului. Six years between manta surveys, Cyclone Hamish March 2009, Cyclone Ului March 2010"
20104100104,Reef 20-104,m,2009.0,1 COT in 09. COTS at IO levels on manta
20104100104,Reef 20-104,s,2009.1808219178083,Hamish. Ului was after manta tow survey.
20104100104,Reef 20-104,s,2011.0,"COTS on site in 07 one COT on site in 07,09"
20104100104,Reef 20-104,s,2017.2356164383561,Cyclone Debbie 2017.  1st post debbie survey
20104100104,Reef 20-104,u,2022.0,Mar 2022 DHW 4.07
20113100104,Ben Reef,s,2010.213698630137,Storm damage
20287100104,Credlin Reef East,s,2017.2356164383561,"Close to Debbie, some bleaching in 2017"
20297100104,Creal Reef,s,2009.1808219178083,Storm damage
20297100104,Creal Reef,c,2013.0,COTS
20309100104,Tern Island,m,2010.0,COTS & TC Hamish?
20309100104,Tern Island,c,2012.0,COTS
20348100104,Reef 20-348,s,2009.1808219178083,Storm damage
20351101104,Pompey Reef No.1,s,2009.1808219178083,TC Hamish
20351101104,Pompey Reef No.1,s,2015.1342465753426,Possibly bleaching for sites 2015/16 and or 2016/17 events. For manta tow- Cyclone Marcia
20351102104,Pompey Reef No.2,s,2009.1808219178083,TC Hamish
20351102104,Pompey Reef No.2,s,2015.1342465753426,For manta tow-Cyclone Marcia as not surveyed in 2016
20351102104,Pompey Reef No.2,u,2022.0,Mar 2022 DHW 3.54 Aerial bl 3
20353100104,Reef 20-353,s,2009.1808219178083,Storm damage
21060100104,Reef 21-060,m,2010.0,"COTS, Storm damage"
21060100104,Reef 21-060,c,2014.0,COTS
21062100104,Reef 21-062,m,2014.0,"COTS, multiple- COTS storm.  12 COTS"
21062100104,Reef 21-062,c,2016.0,COTS.  9 COTS
21064100104,Reef 21-064,s,2009.1808219178083,Storm damage
21064100104,Reef 21-064,c,2014.0,COTS
21064100104,Reef 21-064,c,2018.0,
21139100104,Reef 21-139,u,2008.0,Manta median decline
21139100104,Reef 21-139,s,2009.1808219178083,Storm damage
21187100104,Reef 21-187,s,2009.1808219178083,TC Hamish
21245100104,Reef 21-245,s,2009.1808219178083,TC Hamish
21278100104,Reef 21-278,u,2008.0,Not known
21278100104,Reef 21-278,u,2012.0,mortality pattern suggests storm storm
21296100104,Reef 21-296,s,2014.0849315068492,Storm damage
21302100104,Reef 21-302,u,2008.0,Not known for manta
21305100104,East Cay,u,2011.0,Not known
21305100104,East Cay,s,2014.2794520547945,Storm damage
21305100104,East Cay,u,2008.0,Not known
21529100104,Reef 21-529,u,2008.0,Not known
21529100104,Reef 21-529,s,2009.1808219178083,Storm damage
21550100104,Reef 21-550,s,2009.1808219178083,TC Hamish- all sites
21556100104,Gannet Cay,s,2009.1808219178083,Storm damage
21556100104,Gannet Cay,c,2019.0,COTS outbreak
21556100104,Gannet Cay,c,2021.0,DHW2020 6.8
21558100104,Reef 21-558,u,2008.0,"Not known, declines in HC on site 2 and 3, increase in SC"
21558100104,Reef 21-558,s,2009.1808219178083,"Storm damage, large decline SC"
21558100104,Reef 21-558,s,2014.0849315068492,Cyclone Edna
21558100104,Reef 21-558,c,2022.0,COTS just below IO level
21562100104,Turner Cay,s,2009.1835616438357,site diffs decreasing
21562100104,Turner Cay,c,2019.0,COTS outbreak
21572100104,Small Lagoon Reef,c,2020.0,active outbreak manta tow.  A B and 100 C cots on ss
21584100104,Jenkins Reef,s,2009.1808219178083,"site 3 affected, but overall coral increased"
21584100104,Jenkins Reef,c,2018.0,COTS
21588100104,Wade Reef,c,2018.0,COTS
21591100104,Reef 21-591,c,2010.0,"COTS, Cyclone"
21591100104,Reef 21-591,s,2010.213698630137,Cyclone - storm damage
22084100104,Reef 22-084,c,2010.0,Cyclone Hamish March 2009 all sites affected
22084100104,Reef 22-084,c,2020.0,
22088101104,Snake Reef,s,2009.1808219178083,Hamish
22088101104,Snake Reef,c,2021.0,"Active outbreak COTS, DHW2020 4.9.  cots around, DHW2020 4.9"
22088101104,Snake Reef,c,2021.9424657534246,COTS Active outbreak
22102100104,Chinaman Reef (22-102),c,2017.0,COTS
22102100104,Chinaman Reef (22-102),c,2018.0,COTS
22102100104,Chinaman Reef (22-102),c,2019.0,COTS
22102100104,Chinaman Reef (22-102),s,2009.1808219178083,Storm damage
22102100104,Chinaman Reef (22-102),u,2016.0,Not known
22104101104,Horseshoe Reef,c,2019.0,COTS outbreak
23045101104,North Island,s,2009.1808219178083,Storm & cyclone
23045101104,North Island,d,2018.0,
23048100104,Broomfield Reef,s,2008.4136986301369,Unknown storm
23051100104,Wreck Island,u,2009.0,
23051100104,Wreck Island,s,2009.1835616438357,Cyclone Hamish March 2009
23051100104,Wreck Island,u,2019.0,
23055101104,One Tree Island,u,2009.0,"disease, not known"
23055101104,One Tree Island,s,2009.1835616438357,"Cyclone Hamish, march 2009"
23068100104,Erskine Island,m,2020.0849315068492,Bleaching and possible unknown storm damage for manta tow
23068100104,Erskine Island,s,2009.1808219178083,"Storm & cyclone, Cyclone Hamish March 2009"
23068100104,Erskine Island,s,2010.0821917808219,Emu Park wave buoy- HS over 3m 31 Jan to 2 Feb. same for MMP Middle Island
23068100104,Erskine Island,b,2021.0,DHW2020 8.7.  COTS culling in the region also
23069100104,Masthead Island,u,2008.0,bleaching. Not known
23069100104,Masthead Island,b,2021.0,DHW2020 8.9
23079100104,Boult Reef,m,2008.0,Disease
23079100104,Boult Reef,s,2009.1808219178083,Storm & cyclone
23079100104,Boult Reef,c,2020.0,"2 cots on SS, log says much coral dead from cots"
23080100104,Hoskyn Island,m,2008.0,"Disease, storm damage"
23080100104,Hoskyn Island,s,2009.1808219178083,"storms, Cyclone Hamish March 2009"
23081100104,Fairfax Island,m,2008.0,COTS & storms & Disease
23081100104,Fairfax Island,s,2009.1808219178083,"Storms, cyclones and COTS (below outbreak)"
23081100104,Fairfax Island,c,2012.0,32 COTS from manta tow
23081100104,Fairfax Island,c,2014.0,43 COTS from manta tow
23082101104,Lady Musgrave Island,m,2009.0,Disease and unknown storm damage
23082101104,Lady Musgrave Island,s,2009.1808219178083,Storm damage
