# Raw per-reef, per-year manta tow cover, cached from ReefMonitoring.get_manta_tow -
# read by 03_a_create_cover_manta_csv.jl and base/generate_clean_growth_intervals.jl
# instead of each hitting the API independently. Delete this file and re-run to force
# a fresh pull (e.g. after a new manta tow survey has landed).
# Generated: 2026-07-30T14:42:55.845
reef_name,report_year,mean
Agincourt Reef No.1,2026,0.44103132527668587
Agincourt Reef No.1,2025,0.33958768119513494
Agincourt Reef No.1,2024,0.44620042550939654
Agincourt Reef No.1,2023,0.44712236195030125
Agincourt Reef No.1,2020,0.26468321562908487
Agincourt Reef No.1,2019,0.13203334271930467
Agincourt Reef No.1,2018,0.17792723057904014
Agincourt Reef No.1,2017,0.13279153925339923
Agincourt Reef No.1,2016,0.1821063750962731
Agincourt Reef No.1,2015,0.12834283165718646
Agincourt Reef No.1,2014,0.12438842126104198
Agincourt Reef No.1,2013,0.10935225095156788
Agincourt Reef No.1,2012,0.11112356331642735
Agincourt Reef No.1,2011,0.1806396759108299
Agincourt Reef No.1,2010,0.22500673296192308
Agincourt Reef No.1,2009,0.15493858566132696
Agincourt Reef No.1,2008,0.19413455972053276
Agincourt Reef No.1,2007,0.21393058233761889
Agincourt Reef No.1,2006,0.1841769053029945
Agincourt Reef No.1,2005,0.3129701245551143
Agincourt Reef No.1,2004,0.27507796471940865
Agincourt Reef No.1,2003,0.17856648889029145
Agincourt Reef No.1,2002,0.2779907616491324
Agincourt Reef No.1,2001,0.3453234850222939
Agincourt Reef No.1,2000,0.25113773045136234
Agincourt Reef No.1,1999,0.17491936366950986
Agincourt Reef No.1,1998,0.24389610363706918
Agincourt Reef No.1,1997,0.3008005688881302
Agincourt Reef No.1,1996,0.15034662826238002
Agincourt Reef No.1,1995,0.21247085679563502
Agincourt Reef No.1,1994,0.15616501762007523
Agincourt Reef No.1,1989,0.11824346633614591
Arlington Reef,1986,0.12370857007884901
Arlington Reef,1990,0.11460389739186547
Arlington Reef,2006,0.09530894108054729
Arlington Reef,2008,0.11509884264583153
Arlington Reef,2010,0.14059874379004386
Arlington Reef,2012,0.12060445616109515
Arlington Reef,2014,0.14607122901894623
Arlington Reef,2016,0.15578424469468927
Arlington Reef,2017,0.15581783498806195
Arlington Reef,2018,0.09527457916373705
Arlington Reef,2024,0.3025943190152201
Ben Reef,1986,0.48623982252445336
Ben Reef,1987,0.27749347200698604
Ben Reef,1988,0.5731052310717012
Ben Reef,1989,0.42724126718041433
Ben Reef,1990,0.46900536390504716
Ben Reef,1994,0.3248951656579052
Ben Reef,1995,0.40416170968940773
Ben Reef,1996,0.4469515636433808
Ben Reef,1998,0.37678382204306504
Ben Reef,1999,0.34120277213406097
Ben Reef,2000,0.45901791665564984
Ben Reef,2001,0.40599354801852927
Ben Reef,2002,0.46578978431867535
Ben Reef,2003,0.6102031468347465
Ben Reef,2004,0.5683860919169239
Ben Reef,2005,0.6017807717456937
Ben Reef,2006,0.6310734598157902
Ben Reef,2007,0.41052103611152957
Ben Reef,2011,0.09138724812391973
Ben Reef,2013,0.08944290239525418
Ben Reef,2017,0.2292456078479819
Ben Reef,2020,0.37210357297556246
Ben Reef,2021,0.6038173399783673
Ben Reef,2023,0.42879492787652607
Ben Reef,2026,0.6297612414242703
Boult Reef,1991,0.21136841899936432
Boult Reef,2006,0.5327569056781443
Boult Reef,2008,0.24753271952747294
Boult Reef,2010,0.1204442807090163
Boult Reef,2012,0.16210793714425706
Boult Reef,2014,0.18347847352332253
Boult Reef,2016,0.3617899072149039
Boult Reef,2018,0.3996861188737792
Boult Reef,2020,0.4816404001070489
Boult Reef,2021,0.6111667586391639
Boult Reef,2026,0.2222131554683403
Bowden Reef,1986,0.22180997984157555
Bowden Reef,1987,0.20601230272170298
Bowden Reef,1988,0.2157088049801567
Bowden Reef,1989,0.2126683300739672
Bowden Reef,1990,0.1683336732025512
Bowden Reef,1991,0.12718133038244384
Bowden Reef,1992,0.14622295174060457
Bowden Reef,1993,0.16813647415889302
Bowden Reef,1994,0.15460113217533555
Bowden Reef,1995,0.1753726499439991
Bowden Reef,1996,0.15794511152989724
Bowden Reef,1997,0.1972243735382921
Bowden Reef,1998,0.20012305252776288
Bowden Reef,1999,0.21375080224121965
Bowden Reef,2000,0.17820611096732397
Bowden Reef,2001,0.14640755551029294
Bowden Reef,2002,0.17933683495731242
Bowden Reef,2003,0.23677516670971574
Bowden Reef,2004,0.15617828868950262
Bowden Reef,2005,0.17318425119532166
Bowden Reef,2007,0.16432985242701542
Bowden Reef,2011,0.14886284046146184
Bowden Reef,2015,0.243337128003429
Bowden Reef,2018,0.236532262988381
Bowden Reef,2021,0.29852594557318324
Bowden Reef,2022,0.270754522126542
Bowden Reef,2023,0.27988795855336
Bowden Reef,2025,0.27194587828476485
Broomfield Reef,2026,0.16127130702547837
Broomfield Reef,2025,0.24891474764243054
Broomfield Reef,2024,0.5811663661345191
Broomfield Reef,2023,0.5756922816873091
Broomfield Reef,2022,0.6355586720345061
Broomfield Reef,2021,0.5911025334332883
Broomfield Reef,2020,0.5067188422817305
Broomfield Reef,2019,0.5444239098978991
Broomfield Reef,2018,0.49053425228482994
Broomfield Reef,2017,0.44567303656795326
Broomfield Reef,2016,0.5041898836888489
Broomfield Reef,2015,0.408781855846611
Broomfield Reef,2014,0.32408382290200644
Broomfield Reef,2013,0.32210699479811705
Broomfield Reef,2011,0.2095578906138082
Broomfield Reef,2010,0.1873580625471469
Broomfield Reef,2009,0.1849598671481191
Broomfield Reef,2008,0.3981406171112813
Broomfield Reef,2007,0.2271603611001424
Broomfield Reef,2006,0.365176757814976
Broomfield Reef,2005,0.3094644030387087
Broomfield Reef,2004,0.26150499759836493
Broomfield Reef,2003,0.3669156020423868
