cyclone_name,type,year,reef_name,reef_id,year_before,year_after
unknown,s,2011.0,Reef 20-104,20104100104,2011,2013
Debbie,s,2017.2356164383561,Reef 20-104,20104100104,2017,2021
Hamish,s,2009.1808219178083,Reef 20-348,20348100104,2008,2010
Hamish,s,2009.1808219178083,Reef 20-353,20353100104,2008,2010
unknown,m,2010.0,Reef 21-060,21060100104,2008,2010
unknown,c,2014.0,Reef 21-060,21060100104,2014,2016
unknown,m,2014.0,Reef 21-062,21062100104,2010,2014
unknown,c,2016.0,Reef 21-062,21062100104,2014,2016
Hamish,s,2009.1808219178083,Reef 21-064,21064100104,2008,2010
unknown,c,2014.0,Reef 21-064,21064100104,2010,2014
unknown,c,2018.0,Reef 21-064,21064100104,2016,2018
Hamish,s,2009.1808219178083,Reef 21-139,21139100104,2008,2010
Hamish,s,2009.1808219178083,Reef 21-187,21187100104,2008,2010
Hamish,s,2009.1808219178083,Reef 21-245,21245100104,2008,2010
Edna,s,2014.0849315068492,Reef 21-296,21296100104,2014,2016
Hamish,s,2009.1808219178083,Reef 21-529,21529100104,2009,2011
Hamish,s,2009.1808219178083,Reef 21-550,21550100104,2008,2010
Hamish,s,2009.1808219178083,Reef 21-558,21558100104,2008,2010
Edna,s,2014.0849315068492,Reef 21-558,21558100104,2012,2014
unknown,c,2022.0,Reef 21-558,21558100104,2018,2022
#unknown,c,2010.0,Reef 21-591,21591100104,2008,2010
#Ului,s,2010.213698630137,Reef 21-591,21591100104,2008,2010
unknown,m,2010.0,Reef 21-591,21591100104,2008,2010
Ita,s,2014.0,Reef 21-591,21591100104,2014,2016
unknown,c,2010.0,Reef 22-084,22084100104,2008,2010
unknown,c,2020.0,Reef 22-084,22084100104,2018,2020
#unknown,c,2022.0,Reef 22-084,22084100104,,
Yasi,s,2011.0876712328768,Rib Reef,18032100104,2010,2011
unknown,c,2017.0,Rib Reef,18032100104,2016,2017
unknown,c,2018.0,Rib Reef,18032100104,2017,2018
unknown,c,2019.0,Rib Reef,18032100104,2018,2019
Yasi,s,2011.0876712328768,Roxburgh Reef,18042100104,2010,2012
Hamish,s,2009.1808219178083,Slate Reef,19159100104,2007,2009
Ului,s,2010.213698630137,Slate Reef,19159100104,2009,2011
Debbie,s,2017.0,Slate Reef,19159100104,2017,2019
unknown,c,2020.0,Small Lagoon Reef,21572100104,2018,2020
#unknown,c,2022.0,Small Lagoon Reef,21572100104,,
Hamish,s,2009.1808219178083,Snake Reef,22088101104,2009,2011
unknown,c,2021.0,Snake Reef,22088101104,2019,2021
unknown,c,2022.0,Snake Reef,22088101104,2021,2022
Yasi,s,2011.0876712328768,St. Crispin Reef,16019100104,2011,2012
#unknown,c,2013.0,Startle Reef East,15028100104,,
#unknown,c,2015.0,Startle Reef East,15028100104,,
#unknown,c,2010.0,Swinger Reef,15030100104,,
#unknown,m,2015.0,Swinger Reef,15030100104,,
Yasi,s,2011.0876712328768,Taylor Reef,17064100104,2010,2012
unknown,c,2017.0,Taylor Reef,17064100104,2016,2018
unknown,c,2018.0,Taylor Reef,17064100104,2016,2018
unknown,m,2010.0,Tern Island,20309100104,2008,2010
unknown,c,2012.0,Tern Island,20309100104,2010,2014
Yasi,s,2011.0876712328768,Thetford Reef,16068100104,2010,2011
Hamish,s,2009.1835616438357,Turner Cay,21562100104,2009,2011
unknown,c,2019.0,Turner Cay,21562100104,2017,2019
unknown,c,2018.0,Wade Reef,21588100104,2016,2018
unknown,c,2020.0,Wade Reef,21588100104,2018,2020
unknown,s,2008.0,Wreck Island,23051100104,2007,2009
Hamish,s,2009.1835616438357,Wreck Island,23051100104,2009,2011
Ita,s,2014.2739726027398,Yonge Reef,14138100104,2013,2015
unknown,m,2016.0849315068492,Yonge Reef,14138100104,2015,2017
