cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before,cover_after
Olga,s,2010.0630136986301,Agincourt Reef No.1,15099103104,2010,2011,0.22520145558123797,0.18105064479008537
Yasi,s,2011.0876712328768,Agincourt Reef No.1,15099103104,2011,2012,0.18105064479008537,0.11077265979409073
Yasi,s,2011.0876712328768,Arlington Reef,16064100104,2010,2012,0.14116972334199435,0.12008618488925987
Ului,s,2010.213698630137,Ben Reef,20113100104,2007,2011,0.41156783561527116,0.08820998825162558
Hamish,s,2009.1808219178083,Boult Reef,23079100104,2008,2010,0.2503031535173992,0.12388151507420823
unknown,c,2011.0,Bowden Reef,19019100104,2007,2011,0.16526001686846922,0.14952522138313765
unknown storm,s,2008.4136986301369,Broomfield Reef,23048100104,2008,2009,0.3980048261762342,0.18500935359927698
Hamish,s,2009.0,Broomfield Reef,23048100104,2009,2010,0.18500935359927698,0.18815318950978763
Jasmine,s,2012.0876712328768,Carter Reef,14137100104,2011,2013,0.22198906071850052,0.17420854532508792
Ita,s,2014.0,Carter Reef,14137100104,2013,2015,0.17420854532508792,0.1403987441665128
Nathan,m,2016.0849315068492,Carter Reef,14137100104,2015,2017,0.1403987441665128,0.10687497474694985
Yasi,s,2011.0876712328768,Chicken Reef,18086100104,2010,2011,0.1341448464527309,0.08216729588503209
Hamish,s,2009.18,Chinaman Reef (22-102),22102100104,2008,2010,0.1943874451038923,0.18306191622445656
unknown,c,2017.0,Chinaman Reef (22-102),22102100104,2017,2018,0.10505840506004092,0.10435536745824867
unknown,c,2018.0,Chinaman Reef (22-102),22102100104,2018,2019,0.10505840506004092,0.10435536745824867
unknown,c,2019.0,Chinaman Reef (22-102),22102100104,2019,2020,0.10505840506004092,0.10435536745824867
Hamish,s,2009.1808219178083,Creal Reef,20297100104,2007,2009,0.6934749395935437,0.13836967939022618
unknown,c,2013.0,Creal Reef,20297100104,2009,2013,0.13836967939022618,0.09502568258053712
Debbie,s,2017.2356164383561,Credlin Reef East,20287100104,2017,2019,0.278019377715033,0.13044551292574352
Yasi,s,2011.0876712328768,Davies Reef,18096100104,2009,2013,0.20390002120347678,0.1126682444978867
Yasi,s,2011.0876712328768,Dip Reef,18039100104,2007,2011,0.1759855174627646,0.09912763721195049
Ita,s,2014.2794520547945,East Cay,21305100104,2014,2015,0.2947126137587961,0.24740093105026884
Hamish,s,2009.1808219178083,Erskine Island,23068100104,2008,2010,0.19399759510550652,0.13952680401104747
unknown,m,2020.0849315068492,Erskine Island,23068100104,2020,2021,0.4191375793887592,0.3655604314776101
unknown,m,2008.0,Fairfax Island,23081100104,2006,2008,0.14239285941562646,0.14983724297668397
Hamish,s,2009.1808219178083,Fairfax Island,23081100104,2008,2010,0.439522914600409,0.1536535690838552
unknown,c,2012.0,Fairfax Island,23081100104,2010,2012,0.14239285941562646,0.14983724297668397
unknown,c,2014.0,Fairfax Island,23081100104,2012,2014,0.14239285941562646,0.14983724297668397
Yasi,s,2011.0,Farquharson Reef,17063101104,2010,2012,0.07812014754121879,0.06313925193891538
unknown,c,2018.0,Farquharson Reef,17063101104,2016,2018,0.14452231845299368,0.09716637497496851
Tasha,s,2010.978082191781,Fitzroy Island,16054101104,2010,2012,0.2929503579601698,0.22278006562196584
unknown,c,2015.0,Fitzroy Island,16054101104,2012,2017,0.22278006562196584,0.2121331276795331
Yasi,s,2011.0876712328768,Fork Reef,18083100104,2010,2012,0.17257053983328668,0.07033201092400661
unknown,c,2013.0,Forrester Reef,15009100104,2009,2013,0.16968993689516407,0.07855816313147083
unknown,c,2015.0,Forrester Reef,15009100104,2013,2015,0.16968993689516407,0.07855816313147083
Hamish,s,2009.1808219178083,Gannet Cay,21556100104,2009,2010,0.1302536480630352,0.09754767437461263
unknown,c,2019.0,Gannet Cay,21556100104,2017,2019,0.32338374498267064,0.22134882399249672
unknown,c,2021.0,Gannet Cay,21556100104,2019,2021,0.32338374498267064,0.22134882399249672
unknown,c,2013.0,Green Island,16049100104,2012,2013,0.11151571979077943,0.0810786422736558
Yasi,s,2011.0876712328768,Grub Reef (18-077),18077100104,2008,2012,0.09760923760458366,0.06251431466376865
unknown,m,2016.0849315068492,Harrier Reef,15025100104,2015,2017,0.33912723701039005,0.11666106027378835
Yasi,s,2011.0876712328768,Hedley Reef,17014100104,2010,2012,0.13204648636431315,0.11605830536874231
unknown,c,2008.0,Helix Reef,18076100104,2006,2008,0.3380741536373685,0.16907968825018418
Yasi,s,2011.0876712328768,Helix Reef,18076100104,2010,2012,0.18145975809134626,0.07863687934890508
unknown,c,2011.0,Helsdon Reef,14135100104,2010,2011,0.2501751382409354,0.09965444829112122
unknown,c,2013.0,Helsdon Reef,14135100104,2011,2013,0.2501751382409354,0.09965444829112122
unknown,c,2015.0,Helsdon Reef,14135100104,2013,2015,0.2501751382409354,0.09965444829112122
unknown,c,2019.0,Horseshoe Reef,22104101104,2017,2019,0.2958119837255137,0.08991300952928293
unknown,m,2008.0,Hoskyn Island,23080100104,2006,2008,0.5534453555801427,0.4531232198283084
Hamish,s,2009.18,Hoskyn Island,23080100104,2008,2010,0.4531232198283084,0.17835015949662897
Hamish,s,2009.1808219178083,Hyde Reef,19207100104,2007,2009,0.3733854424086968,0.1299732503899438
Ului,s,2010.0,Hyde Reef,19207100104,2009,2011,0.1299732503899438,0.10832807051830795
Hamish,s,2009.1808219178083,Jenkins Reef,21584100104,2008,2010,0.1629702614219341,0.12839864699776193
unknown,c,2018.0,Jenkins Reef,21584100104,2016,2018,0.5288664657259244,0.09877091770616188
unknown,c,2019.0,John Brewer Reef,18075100104,2017,2020,0.3779418484075108,0.11708510748680753
Yasi,s,2011.0876712328768,Knife Reef,18081100104,2010,2012,0.2658104791234036,0.08487511312014831
unknown,m,2008.0,Lady Musgrave Island,23082101104,2007,2009,0.5333611164491324,0.30384623701739
Hamish,s,2009.1808219178083,Lady Musgrave Island,23082101104,2009,2010,0.30384623701739,0.16286281645211825
unknown,c,2013.0,Linnet Reef,14126100104,2011,2013,0.34793750509701965,0.2659396931826956
Nathan,s,2015.2109589041097,Linnet Reef,14126100104,2013,2017,0.2659396931826956,0.08750766820229147
Yasi,s,2011.0,Little Kelso Reef,18031100104,2010,2012,0.11882061302664955,0.1126791507281775
unknown,m,2017.0849315068492,Little Kelso Reef,18031100104,2016,2018,0.24164863124180377,0.12535429792624916
unknown,c,2020.0,Little Kelso Reef,18031100104,2018,2020,0.24164863124180377,0.12535429792624916
Ita,s,2015.0,Lizard Isles,14116101104,2013,2015,0.13037855191865821,0.078407705742009
unknown,m,2016.0849315068492,Lizard Isles,14116101104,2015,2017,0.078407705742009,0.06681561088552923
unknown,c,2015.0,Macgillivray Reef,14114100104,2013,2015,0.08541620915447559,0.07344202433943996
unknown,m,2016.08,Macgillivray Reef,14114100104,2015,2017,0.08541620915447559,0.07344202433943996
unknown,c,2015.0,Mackay Reef,16015100104,2013,2015,0.3239575778740556,0.16284870678155003
unknown,c,2013.0,Martin Reef,14123100104,2013,2015,0.26673146161581246,0.1873489942424577
unknown,m,2016.0849315068492,Martin Reef,14123100104,2015,2017,0.1873489942424577,0.10796652686910296
Yasi,s,2011.0876712328768,Michaelmas Cay,16060100104,2009,2013,0.14126085109378958,0.09556803014875605
unknown,c,2017.0,Michaelmas Cay,16060100104,2017,2019,0.1280440870747712,0.09990041345018467
Yasi,s,2011.0876712328768,Moore Reef,16071100104,2010,2012,0.14483023355978514,0.13606981489702705
Yasi,s,2011.0876712328768,Myrmidon Reef,18034100104,2007,2011,0.13805127687684274,0.08111009051821756
Ita,s,2014.2739726027398,No Name Reef,14139100104,2013,2015,0.16235987311173325,0.15133600547635084
unknown,m,2016.0849315068492,No Name Reef,14139100104,2015,2017,0.15133600547635084,0.09758722627468341
Hamish,s,2009.18,North Island,23045101104,2008,2010,0.44527084248412624,0.19482169599260127
unknown,c,2011.0,North Direction Island,14143100104,2010,2011,0.36330589319924544,0.28808983366299656
Ita,s,2014.27,North Direction Island,14143100104,2013,2015,0.2908336744991726,0.06814622269011046
Nathan,s,2015.0,North Direction Island,14143100104,2015,2017,0.06814622269011046,0.05637554371010845
unknown,m,2008.0,One Tree Island,23055101104,2007,2009,0.36839984967197975,0.2307058802029781
Hamish,s,2009.1835616438357,One Tree Island,23055101104,2009,2011,0.2307058802029781,0.16245134536327033
Yasi,s,2011.0876712328768,Peart Reef,17024100104,2010,2012,0.16247449058445523,0.12668268286957113
unknown,c,2016.0,Peart Reef,17024100104,2014,2016,0.18682736519191356,0.07722865480547626
unknown,c,2018.0,Peart Reef,17024100104,2016,2018,0.18682736519191356,0.07722865480547626
unknown,c,2015.0,Pickersgill Reef,15093100104,2011,2015,0.23135720265213122,0.19201944903306142
Hamish,s,2009.1808219178083,Pompey Reef No.1,20351101104,2006,2010,0.2574717687103284,0.19671517299705082
Marcia,s,2015.1342465753426,Pompey Reef No.1,20351101104,2014,2018,0.2774995204345493,0.19153415936454188
Hamish,s,2009.1808219178083,Pompey Reef No.2,20351102104,2006,2010,0.29257450010423974,0.14698753160517933
Marcia,s,2015.1342465753426,Pompey Reef No.2,20351102104,2014,2018,0.1568526283673192,0.10721918112247694
Hamish,s,2009.0,Rebe Reef,19209100104,2005,2009,0.2826755153615951,0.1837178492333036
Ului,s,2010.213698630137,Rebe Reef,19209100104,2009,2011,0.1837178492333036,0.08476018310501207
Hamish,s,2009.1808219178083,Reef 19-131,19131101104,2007,2009,0.1904451983669,0.1712820212520367
Debbie,s,2017.2356164383561,Reef 19-131,19131101104,2017,2019,0.2500769682283998,0.15822210881582083
Ului,s,2010.213698630137,Reef 19-138,19138100104,2010,2011,0.2263115517863552,0.19697643265443635
Debbie,s,2017.2356164383561,Reef 19-138,19138100104,2017,2019,0.3679708987798587,0.18341015186962992
Hamish,s,2009.1808219178083,Reef 20-104,20104100104,2007,2009,0.25450381951813283,0.22316593418762534
unknown,s,2011.0,Reef 20-104,20104100104,2009,2011,0.22316593418762534,0.10392785665233226
Debbie,s,2017.2356164383561,Reef 20-104,20104100104,2017,2021,0.30979797141683096,0.30309860849073345
Hamish,s,2009.1808219178083,Reef 20-348,20348100104,2005,2010,0.18306226108550536,0.07807257549501447
Hamish,s,2009.1808219178083,Reef 20-353,20353100104,2008,2010,0.46792367292621495,0.10801185632377161
unknown,m,2010.0,Reef 21-060,21060100104,2006,2010,0.11965507035315938,0.06528184058760635
unknown,c,2014.0,Reef 21-060,21060100104,2012,2014,0.11965507035315938,0.06528184058760635
unknown,m,2014.0,Reef 21-062,21062100104,2008,2014,0.11586053639127276,0.1029131226281629
unknown,c,2016.0,Reef 21-062,21062100104,2014,2016,0.11586053639127276,0.1029131226281629
Hamish,s,2009.1808219178083,Reef 21-064,21064100104,2008,2010,0.46077253106374455,0.1890532887612188
unknown,c,2014.0,Reef 21-064,21064100104,2012,2016,0.10619250000149547,0.09485290257035976
unknown,c,2018.0,Reef 21-064,21064100104,2016,2018,0.10619250000149547,0.09485290257035976
Hamish,s,2009.1808219178083,Reef 21-139,21139100104,2008,2010,0.316321775421302,0.1673072375826426
Hamish,s,2009.1808219178083,Reef 21-187,21187100104,2008,2010,0.4707560456973344,0.13238793483623726
Hamish,s,2009.1808219178083,Reef 21-245,21245100104,2008,2010,0.2865292037207822,0.12316799672703861
Edna,s,2014.0849315068492,Reef 21-296,21296100104,2014,2018,0.213229663200328,0.16427129679389688
Hamish,s,2009.1808219178083,Reef 21-529,21529100104,2009,2010,0.4183943284943507,0.11247672286618031
Hamish,s,2009.1808219178083,Reef 21-550,21550100104,2008,2010,0.4136179819954812,0.15617977060734392
Hamish,s,2009.1808219178083,Reef 21-558,21558100104,2008,2012,0.34626848572693,0.21679414590396484
Edna,s,2014.0849315068492,Reef 21-558,21558100104,2014,2016,0.3676541336905483,0.3914411089868365
unknown,c,2022.0,Reef 21-558,21558100104,2018,2022,0.5558567279678452,0.48869147140295816
unknown,m,2010.0,Reef 21-591,21591100104,2008,2010,0.40373100373918885,0.23350763427960114
Ita,s,2014.0,Reef 21-591,21591100104,2012,2014,0.3218902663807289,0.21050332260250637
unknown,c,2010.0,Reef 22-084,22084100104,2008,2010,0.44741952617227254,0.1233770585784704
unknown,c,2020.0,Reef 22-084,22084100104,2018,2020,0.44741952617227254,0.1233770585784704
unknown,c,2022.0,Reef 22-084,22084100104,2020,2022,0.44741952617227254,0.1233770585784704
Yasi,s,2011.0876712328768,Rib Reef,18032100104,2010,2011,0.23243932607302334,0.11624230614190656
unknown,c,2017.0,Rib Reef,18032100104,2016,2017,0.14719244925165348,0.11371901111595009
unknown,c,2018.0,Rib Reef,18032100104,2017,2018,0.14719244925165348,0.11371901111595009
unknown,c,2019.0,Rib Reef,18032100104,2018,2020,0.14719244925165348,0.11371901111595009
Yasi,s,2011.0876712328768,Roxburgh Reef,18042100104,2010,2012,0.26858271888130963,0.09039732571516938
Hamish,s,2009.1808219178083,Slate Reef,19159100104,2007,2009,0.4158743643084158,0.1764226462895288
Ului,s,2010.213698630137,Slate Reef,19159100104,2009,2013,0.1764226462895288,0.1121319318529347
Debbie,s,2017.0,Slate Reef,19159100104,2017,2019,0.22691278860184247,0.28589131578763594
unknown,c,2020.0,Small Lagoon Reef,21572100104,2018,2020,0.23421895795305187,0.10615818429610395
unknown,c,2022.0,Small Lagoon Reef,21572100104,2020,2022,0.23421895795305187,0.10615818429610395
Hamish,s,2009.1808219178083,Snake Reef,22088101104,2009,2011,0.23001855023088044,0.14724937588117099
unknown,c,2021.0,Snake Reef,22088101104,2019,2021,0.29654610613100707,0.24878085915089695
unknown,c,2022.0,Snake Reef,22088101104,2021,2022,0.29654610613100707,0.24878085915089695
Yasi,s,2011.0876712328768,St. Crispin Reef,16019100104,2011,2012,0.16199685842911885,0.14708886273857147
unknown,c,2013.0,Startle Reef East,15028100104,2011,2013,0.14186002734569325,0.07148987600154892
unknown,c,2015.0,Startle Reef East,15028100104,2013,2015,0.14186002734569325,0.07148987600154892
unknown,c,2010.0,Swinger Reef,15030100104,2009,2010,0.2255325887870657,0.12264220522292331
unknown,m,2015.0,Swinger Reef,15030100104,2010,2015,0.2255325887870657,0.12264220522292331
Yasi,s,2011.0876712328768,Taylor Reef,17064100104,2010,2012,0.16108148406962905,0.1267860459855092
unknown,c,2017.0,Taylor Reef,17064100104,2016,2017,0.27465034961878354,0.1354545840793082
unknown,c,2018.0,Taylor Reef,17064100104,2017,2018,0.27465034961878354,0.1354545840793082
unknown,m,2010.0,Tern Island,20309100104,2008,2010,0.2857164647527987,0.18916932061623867
unknown,c,2012.0,Tern Island,20309100104,2010,2012,0.2857164647527987,0.18916932061623867
Yasi,s,2011.0876712328768,Thetford Reef,16068100104,2010,2012,0.20864609105894752,0.1271728603797878
Hamish,s,2009.1835616438357,Turner Cay,21562100104,2009,2011,0.20501835872113047,0.15486204611305682
unknown,c,2019.0,Turner Cay,21562100104,2017,2019,0.532241236327832,0.0943553907707403
unknown,c,2018.0,Wade Reef,21588100104,2016,2018,0.11466094421605723,0.08503384169571605
unknown,c,2020.0,Wade Reef,21588100104,2018,2020,0.11466094421605723,0.08503384169571605
unknown,s,2008.0,Wreck Island,23051100104,2007,2009,0.28217472719522685,0.24002566207784012
Hamish,s,2009.1835616438357,Wreck Island,23051100104,2009,2011,0.24002566207784012,0.17771622919084226
